80,10,0.0003054,0.01
80,10,0.000299,0.01
80,10,0.0002982,0.01
81,10,0.0003024,0.01
79,10,0.0003064,0.01
79,10,0.000306,0.01
80,10,0.0003138,0.01
82,10,0.0003082,0.01
83,10,0.0003058,0.01
83,10,0.000307,0.01
82,10,0.0003008,0.01
78,10,0.0003006,0.01
77,10,0.0003042,0.01
81,10,0.000302,0.01
79,10,0.0002964,0.01
81,10,0.0002994,0.01
81,10,0.000292,0.01
82,10,0.0002934,0.01
84,10,0.0002926,0.01
84,10,0.0002938,0.01
83,10,0.000296,0.01
84,10,0.000302,0.01
86,10,0.000301,0.01
82,10,0.0003068,0.01
82,10,0.000307,0.01
80,10,0.0003032,0.01
75,10,0.0003046,0.01
72,10,0.0003036,0.01
72,10,0.0002992,0.01
73,10,0.0003024,0.01
70,10,0.0003046,0.01
67,10,0.0003028,0.01
64,10,0.0003024,0.01
62,10,0.0003072,0.01
59,10,0.0003068,0.01
57,10,0.0003088,0.01
57,10,0.0003056,0.01
57,10,0.000306,0.01
55,10,0.000301,0.01
55,10,0.0002966,0.01
55,10,0.0002924,0.01
54,10,0.0002938,0.01
55,10,0.0002946,0.01
55,10,0.0002956,0.01
53,10,0.000294,0.01
52,10,0.0002936,0.01
53,10,0.0002904,0.01
53,10,0.0002858,0.01
54,10,0.000284,0.01
56,10,0.0002916,0.01
58,10,0.0002926,0.01
61,10,0.0002974,0.01
62,10,0.0003014,0.01
64,10,0.000306,0.01
70,10,0.0003028,0.01
75,10,0.0003026,0.01
79,10,0.0002988,0.01
83,10,0.0003022,0.01
86,10,0.0003014,0.01
86,10,0.0002996,0.01
85,10,0.0003016,0.01
87,10,0.0003004,0.01
86,10,0.0002972,0.01
87,10,0.0002998,0.01
87,10,0.0003048,0.01
86,10,0.0003036,0.01
85,10,0.0003104,0.01
87,10,0.0003068,0.01
85,10,0.0003056,0.01
83,10,0.0003,0.01
85,10,0.0003032,0.01
85,10,0.0002974,0.01
87,10,0.0003004,0.01
87,10,0.0002966,0.01
87,10,0.0003004,0.01
88,10,0.0002956,0.01
88,10,0.000298,0.01
87,10,0.0003,0.01
88,10,0.0003,0.01
87,10,0.0002978,0.01
90,10,0.0002998,0.01
90,10,0.0002976,0.01
90,10,0.0002966,0.01
89,10,0.0002984,0.01
88,10,0.0003024,0.01
90,10,0.000305,0.01
90,10,0.0003098,0.01
88,10,0.0003096,0.01
89,10,0.0003126,0.01
90,10,0.0003074,0.01
90,10,0.0003088,0.01
90,10,0.0003086,0.01
90,10,0.0003064,0.01
88,10,0.0003036,0.01
88,10,0.000302,0.01
88,10,0.000297,0.01
88,10,0.000294,0.01
86,10,0.0002918,0.01
83,10,0.0002904,0.01
78,10,0.0002926,0.01
76,10,0.0002922,0.01
75,10,0.0002934,0.01
76,10,0.0002998,0.01
74,10,0.0003022,0.01
72,10,0.0003042,0.01
70,10,0.0003088,0.01
67,10,0.0003072,0.01
64,10,0.0003026,0.01
63,10,0.000304,0.01
62,10,0.0003054,0.01
60,10,0.0003034,0.01
59,10,0.0003044,0.01
57,10,0.0003104,0.01
57,10,0.000305,0.01
55,10,0.0003008,0.01
56,10,0.0003004,0.01
55,10,0.0002964,0.01
56,10,0.0002958,0.01
54,10,0.0002988,0.01
54,10,0.0003016,0.01
55,10,0.0003048,0.01
55,10,0.0003054,0.01
57,10,0.0003028,0.01
60,10,0.0002992,0.01
62,10,0.0003012,0.01
66,10,0.0002976,0.01
70,10,0.0003004,0.01
77,10,0.000303,0.01
82,10,0.0003066,0.01
84,10,0.000302,0.01
84,10,0.0003014,0.01
81,10,0.0003038,0.01
82,10,0.0002984,0.01
83,10,0.000297,0.01
84,10,0.0002948,0.01
86,10,0.0002972,0.01
86,10,0.000299,0.01
87,10,0.0003018,0.01
87,10,0.0003008,0.01
87,10,0.000301,0.01
87,10,0.0003016,0.01
87,10,0.000297,0.01
86,10,0.0002938,0.01
86,10,0.0002944,0.01
86,7,0.0002974,0.007
87,10,0.0002922,0.01
85,10,0.0002898,0.01
82,10,0.0002896,0.01
82,10,0.000292,0.01
82,10,0.0002962,0.01
81,10,0.0003008,0.01
81,10,0.0003064,0.01
82,10,0.0003088,0.01
81,10,0.00031,0.01
81,10,0.000307,0.01
80,10,0.0003058,0.01
84,10,0.0003062,0.01
86,10,0.0003086,0.01
86,10,0.0003046,0.01
86,10,0.0003016,0.01
88,10,0.0002976,0.01
84,10,0.0002986,0.01
87,10,0.0002968,0.01
87,10,0.000297,0.01
86,10,0.0002986,0.01
85,10,0.0002998,0.01
85,10,0.0002924,0.01
85,10,0.000295,0.01
84,10,0.000295,0.01
83,10,0.000297,0.01
82,10,0.0003002,0.01
82,10,0.0003028,0.01
82,10,0.0002978,0.01
77,10,0.0002988,0.01
70,10,0.0002968,0.01
73,10,0.0003002,0.01
71,10,0.000304,0.01
70,10,0.0003026,0.01
69,10,0.0003058,0.01
67,10,0.0003098,0.01
66,10,0.0003032,0.01
65,10,0.0002982,0.01
64,10,0.0003014,0.01
63,10,0.0002966,0.01
63,10,0.0002918,0.01
63,10,0.000291,0.01
63,10,0.0002968,0.01
61,10,0.0002992,0.01
57,10,0.0003,0.01
55,10,0.0003026,0.01
54,10,0.000303,0.01
53,10,0.0003004,0.01
52,10,0.0003014,0.01
55,10,0.0003024,0.01
56,10,0.000301,0.01
59,10,0.000307,0.01
63,10,0.0003056,0.01
67,10,0.0003036,0.01
72,10,0.0003012,0.01
75,10,0.000303,0.01
78,10,0.000298,0.01
77,10,0.0003012,0.01
80,10,0.0003014,0.01
