84.001,0.005,0.0003
84.669,0.005,0.0003
85.003,0.005,0.0003
85.003,0.005,0.0003
85.003,0.005,0.0003
85.17,0.005,0.0003
85.17,0.005,0.0003
85.17,0.005,0.0003
85.838,0.005,0.0003
86.84,0.005,0.0003
87.508,0.005,0.0003
89.011,0.005,0.0003
90.347,0.005,0.0003
90.848,0.005,0.0003
90.848,0.005,0.0003
90.347,0.005,0.0003
89.679,0.005,0.0003
89.846,0.005,0.0003
90.18,0.005,0.0003
90.347,0.005,0.0003
90.013,0.005,0.0003
89.512,0.005,0.0003
88.343,0.005,0.0003
87.675,0.005,0.0003
87.007,0.005,0.0003
86.506,0.005,0.0003
85.838,0.005,0.0003
85.671,0.005,0.0003
84.836,0.005,0.0003
83.834,0.005,0.0003
83.166,0.005,0.0003
83.166,0.005,0.0003
81.83,0.005,0.0003
80.661,0.005,0.0003
80.661,0.005,0.0003
76.653,0.005,0.0003
72.979,0.005,0.0003
75.317,0.005,0.0003
78.49,0.005,0.0003
81.162,0.005,0.0003
82.665,0.005,0.0003
84.168,0.005,0.0003
82.331,0.005,0.0003
80.16,0.005,0.0003
77.655,0.005,0.0003
76.319,0.005,0.0003
75.15,0.005,0.0003
74.315,0.005,0.0003
75.15,0.005,0.0003
75.651,0.005,0.0003
76.319,0.005,0.0003
76.82,0.005,0.0003
76.82,0.005,0.0003
77.488,0.005,0.0003
79.492,0.005,0.0003
81.329,0.005,0.0003
82.999,0.005,0.0003
84.836,0.005,0.0003
86.005,0.005,0.0003
87.174,0.005,0.0003
88.009,0.005,0.0003
88.51,0.005,0.0003
89.011,0.005,0.0003
89.178,0.005,0.0003
89.512,0.005,0.0003
89.846,0.005,0.0003
90.013,0.005,0.0003
90.514,0.005,0.0003
90.681,0.005,0.0003
91.015,0.005,0.0003
91.349,0.005,0.0003
91.516,0.005,0.0003
91.349,0.005,0.0003
91.516,0.005,0.0003
91.683,0.005,0.0003
91.85,0.005,0.0003
91.85,0.005,0.0003
91.683,0.005,0.0003
91.516,0.005,0.0003
91.349,0.005,0.0003
91.182,0.005,0.0003
91.182,0.005,0.0003
91.182,0.005,0.0003
91.349,0.005,0.0003
91.182,0.005,0.0003
90.681,0.005,0.0003
90.514,0.005,0.0003
90.013,0.005,0.0003
89.345,0.005,0.0003
88.51,0.005,0.0003
86.506,0.005,0.0003
84.502,0.005,0.0003
83.166,0.005,0.0003
82.331,0.005,0.0003
82.331,0.005,0.0003
83.166,0.005,0.0003
82.498,0.005,0.0003
81.496,0.005,0.0003
81.329,0.005,0.0003
80.327,0.005,0.0003
79.492,0.005,0.0003
76.987,0.005,0.0003
75.651,0.005,0.0003
75.484,0.005,0.0003
75.818,0.005,0.0003
77.321,0.005,0.0003
76.987,0.005,0.0003
76.653,0.005,0.0003
77.154,0.005,0.0003
77.321,0.005,0.0003
77.321,0.005,0.0003
77.488,0.005,0.0003
76.987,0.005,0.0003
77.154,0.005,0.0003
77.154,0.005,0.0003
76.82,0.005,0.0003
77.321,0.005,0.0003
77.321,0.005,0.0003
76.486,0.005,0.0003
76.319,0.005,0.0003
76.319,0.005,0.0003
76.486,0.005,0.0003
76.486,0.005,0.0003
76.987,0.005,0.0003
76.82,0.005,0.0003
77.488,0.005,0.0003
76.82,0.005,0.0003
77.154,0.005,0.0003
77.321,0.005,0.0003
76.486,0.005,0.0003
76.987,0.005,0.0003
77.321,0.005,0.0003
77.154,0.005,0.0003
77.488,0.005,0.0003
77.655,0.005,0.0003
78.323,0.005,0.0003
78.49,0.005,0.0003
78.323,0.005,0.0003
77.989,0.005,0.0003
77.989,0.005,0.0003
78.323,0.005,0.0003
78.824,0.005,0.0003
78.156,0.005,0.0003
